"totalcheckouts","title","author","callnumber","lastcheckoutdate","itypecode","locationcode"
"28","Poms","","|aDVD P COMEDY","2020-01-20 14:27:08-06",23,"advh "
"28","Breakthrough","","|aDVD B DRAMA","2020-01-10 12:36:26-06",12,"advdf"
"28","Love, romance & chocolate.","","|aLOV","2020-01-17 13:54:36-06",12,"advv "
"28","Tolkien","","|aBLU-RAY T DRAMA","2019-12-23 11:47:09-06",12,"abdf "
"28","The souvenir","","|aDVD S DRAMA","2020-01-13 15:55:54-06",12,"advdf"
"28","Super Mario odyssey.","","|aNINTENDO SWITCH-S","2020-01-03 15:00:02-06",45,"jvg  "
"28","Amazing grace","","|a782.254 FRA","2020-01-24 15:11:05-06",13,"advdn"
"28","The curse of La Llorona","","|aDVD C HORROR","2020-01-11 14:41:52-06",12,"advdf"
"28","All is true.","","|aDVD A DRAMA","2020-01-10 14:42:48-06",23,"advh "
"28","Working woman.","","|aDVD W WORLD (HEBREW)","2020-01-20 15:44:12-06",12,"advdf"
"28","The hot zone. The complete first season","","|aHOT SEASON 1","2020-01-13 10:09:33-06",12,"advv "
"28","Mia and the white lion : quest for freedom","","|aBLU-RAY M ACTION/ADVENTURE","2020-01-21 14:29:46-06",12,"abdf "
"28","Crypto.","","|aDVD C DRAMA","2020-01-10 14:55:10-06",12,"advdf"
"28","Amazing grace","","|a782.254 FRA","2020-01-20 19:41:39-06",23,"advh "
"28","Detective Montalbano. Episodes 33 & 34.","","|aDET EPISODES 33-34","2020-01-16 13:38:28-06",12,"advdf"
"28","The white crow","","|aDVD W DRAMA","2020-01-23 12:03:39-06",23,"advh "
"28","Marcella. Season two.","","|aMAR SEASON 2","2020-01-03 15:17:02-06",12,"advv "
"28","Un couteau dans le coeur","","|aDVD K WORLD (FRENCH)","2020-01-09 11:59:51-06",12,"advdf"
"28","Climax.","","|aDVD C HORROR","2020-01-26 15:51:10-06",12,"advdf"
"28","Hale County this morning, this evening","","|a305.896073 H","2020-01-16 18:31:56-06",13,"advdn"
"28","Long shot","","|aDVD L COMEDY","2020-01-04 15:02:15-06",12,"advdf"
"28","The intruder","","|aBLU-RAY I DRAMA","2020-01-07 12:30:32-06",12,"abdf "
"28","Super Mario Maker 2.","","|aNINTENDO SWITCH-S","2020-01-16 20:11:03-06",45,"jvg  "
"28","Batman. Hush","","|aDVD B SF/FANTASY","2020-01-24 09:07:07-06",12,"advdf"
"28","Clara.","","|aDVD C SF/FANTASY","2020-01-25 15:00:56-06",12,"advdf"
"28","Ash is purest white.","","|aDVD A WORLD (CHINESE)","2020-01-10 15:29:55-06",12,"advdf"
"27","Chasing the moon.","","|a629.454 C","2019-12-19 17:34:53-06",13,"abdn "
"27","Hale County this morning, this evening","","|a305.896073 H","2019-12-17 15:55:49-06",13,"advdn"
"27","Blood","","|aBLO","2019-12-31 15:08:26-06",12,"advv "
"27","The souvenir","","|aDVD S DRAMA","2020-01-21 18:49:43-06",12,"advdf"
"27","Anna.","","|aDVD A ACTION/ADVENTURE","2020-01-20 09:10:41-06",23,"advh "
"27","All is true.","","|aDVD A DRAMA","2020-01-15 09:16:33-06",12,"advdf"
"27","Tolkien","","|aDVD T DRAMA","2020-01-26 12:49:50-06",23,"advh "
"27","Batman. Hush","","|aBLU-RAY B SF/FANTASY","2020-01-08 19:24:02-06",12,"abdf "
"27","Dogman","","|aDVD D WORLD (ITALIAN)","2020-01-23 11:14:24-06",12,"advdf"
"27","Swinging safari","","|aDVD S COMEDY","2020-01-08 13:09:44-06",12,"advdf"
"27","Breakthrough","","|aDVD B DRAMA","2020-01-02 11:46:07-06",23,"advh "
"27","The professor and the madman","","|aDVD P DRAMA","2020-01-07 09:55:51-06",12,"advdf"
"27","The hustle","","|aDVD H COMEDY","2020-01-22 20:48:21-06",23,"advh "
"27","The sun is also a star","","|aDVD S DRAMA","2020-01-21 20:03:00-06",12,"advdf"
"27","The upside","","|aDVD U COMEDY","2020-01-23 16:29:07-06",12,"advdf"
"27","Sonny with a chance.","","|aDVD S","2020-01-27 20:28:14-06",38,"jdvdf"
"27","Cold pursuit.","","|aDVD C ACTION/ADVENTURE","2019-12-30 14:00:06-06",12,"advdf"
"27","Escape plan : the extractors","","|aDVD E ACTION/ADVENTURE","2020-01-19 17:47:42-06",12,"advdf"
"27","The souvenir","","|aDVD S DRAMA","2020-01-24 16:46:32-06",23,"advh "
"27","London kills. Series 1.","","|aLON SERIES 1","2020-01-24 14:42:58-06",12,"advv "
"27","Patrick Melrose.","","|aPAT","2020-01-03 18:27:01-06",12,"advv "
"27","The tomorrow man","","|aDVD T DRAMA","2020-01-17 13:55:28-06",23,"advh "
"27","Little","","|aDVD L COMEDY","2019-12-17 11:33:44-06",12,"advdf"
"27","Magnum P.I. Season one","","|aMAG SEASON 1","2020-01-03 17:07:13-06",12,"advv "
"27","Aladdin","","|aDVD A","2020-01-21 20:02:23-06",40,"jdvh "
"27","Love struck cafe.","","|aLOV","2020-01-27 09:45:36-06",12,"advv "
"27","The Grinch","","|aDVD G","2020-01-11 11:21:06-06",38,"jdvdf"
"27","Nancy Drew and the hidden staircase","","|aDVD N","2020-01-22 09:39:31-06",40,"jdvh "
"27","Shakespeare & Hathaway : private investigators. Season two.","","|aSHA SEASON 2","2020-01-05 12:58:28-06",12,"advv "
"27","Team Sonic racing.","","|aNINTENDO SWITCH-T","2020-01-29 15:01:17-06",45,"jvg  "
"27","The souvenir","","|aDVD S DRAMA","2020-01-24 15:35:50-06",23,"advh "
"27","Tolkien","","|aBLU-RAY T DRAMA","2020-01-24 17:08:12-06",23,"abhp "
"27","Pokémon : let's go Pikachu!.","","|aNINTENDO SWITCH-P","2020-01-04 12:12:14-06",45,"jvg  "
"27","Tolkien","","|aBLU-RAY T DRAMA","2020-01-18 13:30:17-06",12,"abdf "
"27","Ugly dolls","","|aDVD U","2020-01-20 17:45:11-06",40,"jdvh "
"27","Hellboy","","|aDVD H SF/FANTASY","2020-01-25 12:19:10-06",12,"advdf"
"27","The legend of 5 Mile Cave","","|aDVD L WESTERN","2020-01-25 16:02:54-06",12,"advdf"
"27","Five feet apart.","","|aDVD F DRAMA","2020-01-04 17:45:06-06",12,"advdf"
"27","Shake it up. Mix it up, laugh it up [videorecording].","","|aDVD S","2020-01-25 14:49:31-06",38,"jdvdf"
"27","Godzilla : king of the monsters","","|aDVD G SF/FANTASY","2020-01-23 20:32:42-06",23,"advh "
"27","Ashes in the snow.","","|aDVD A DRAMA","2020-01-14 15:35:07-06",12,"advdf"
"27","A dog's journey.","","|aDVD D DRAMA","2020-01-25 14:17:30-06",12,"advdf"
"27","Nancy Drew and the hidden staircase","","|aDVD N","2020-01-14 10:12:02-06",40,"jdvh "
"27","Motherfatherson.","","|aMOT","2020-01-14 13:51:27-06",12,"advv "
"27","Frankie Drake mysteries. The complete second season","","|aFRA SEASON 2","2019-12-31 15:06:09-06",12,"advv "
"27","The man who killed Don Quixote","","|aDVD M ACTION/ADVENTURE","2020-01-05 15:23:21-06",12,"advdf"
"27","I'm not here","","|aDVD I DRAMA","2019-12-23 18:01:02-06",12,"advdf"
"27","In like Flynn","","|aDVD I ACTION/ADVENTURE","2020-01-14 10:10:24-06",12,"advdf"
"27","Above the shadows.","","|aDVD A DRAMA","2020-01-27 15:44:42-06",12,"advdf"
"27","Tolkien","","|aDVD T DRAMA","2020-01-18 13:38:22-06",12,"advdf"
"27","The public","","|aDVD P DRAMA","2020-01-06 14:02:42-06",12,"advdf"
"27","Tolkien","","|aDVD T DRAMA","2020-01-14 15:25:28-06",23,"advh "
"27","The intruder","","|aDVD I DRAMA","2020-01-20 15:03:12-06",12,"advdf"
"27","Mia and the white lion : quest for freedom","","|aDVD M ACTION/ADVENTURE","2019-12-27 18:27:27-06",12,"advdf"
"27","The intruder","","|aDVD I DRAMA","2019-12-29 12:22:42-06",23,"advh "
"27","Armstrong","","|a629.450092 ARM","2020-01-10 19:47:19-06",13,"advdn"
"27","The intruder","","|aDVD I DRAMA","2020-01-03 18:15:48-06",12,"advdf"
"27","Big kill","","|aDVD B WESTERN","2019-12-26 09:46:33-06",12,"advdf"
"27","Ugly dolls","","|aDVD U","2020-01-21 16:49:04-06",40,"jdvh "
"27","The mustang","","|aDVD M DRAMA","2020-01-04 12:50:12-06",12,"advdf"
"27","SPL Lab Tech","","|aXbox One Controller GAM04-D","2020-01-10 16:35:49-06",55,"jlte "
"27","All is true.","","|aDVD A DRAMA","2020-01-21 15:10:52-06",23,"advh "
"27","SPL Technology Equipment","","Dry erase markers and eraser #2","2019-12-18 16:30:23-06",25,"ate  "
"27","Saint Judy","","|aDVD S DRAMA","2019-12-31 10:23:04-06",23,"advh "
"27","Be natural : the untold story of Alice Guy-Blache.","","|a791.43023 GUY","2020-01-22 15:57:58-06",13,"advdn"
"27","Never look away","","|aDVD N WORLD (GERMAN)","2019-12-20 11:38:50-06",12,"advdf"
"27","The egg : life's perfect invention","","|a571.468 E","2020-01-02 17:14:25-06",13,"advdn"
"27","Captain Toad :  treasure tracker.","","|aNINTENDO SWITCH-C","2020-01-09 16:20:45-06",45,"jvg  "
"27","The hustle","","|aBLU-RAY H COMEDY","2020-01-16 17:31:16-06",12,"abdf "
"27","The hustle","","|aBLU-RAY H COMEDY","2020-01-23 13:28:14-06",23,"abhp "
"27","The hustle","","|aDVD H COMEDY","2020-01-27 11:23:16-06",12,"advdf"
"27","LEGO city undercover","","|aNINTENDO SWITCH-L","2020-01-10 14:53:07-06",45,"jvg  "
"27","After darkness","","|aDVD A SF/FANTASY","2020-01-18 14:10:41-06",12,"advdf"
"27","Pokémon Detective Pikachu","","|aDVD P","2020-01-18 11:40:42-06",40,"jdvh "
"27","Mia and the white lion : quest for freedom","","|aDVD M ACTION/ADVENTURE","2020-01-09 12:18:52-06",12,"advdf"
"27","Teen beach movie [videorecording]","","|aDVD T","2020-01-25 14:49:19-06",38,"jdvdf"
"27","Pokémon Detective Pikachu","","|aDVD P","2020-01-26 12:22:00-06",40,"jdvh "
"27","The mustang","","|aDVD M DRAMA","2020-01-22 20:48:26-06",12,"advdf"
"27","Five feet apart.","","|aDVD F DRAMA","2020-01-17 19:25:07-06",12,"advdf"
"27","The public","","|aBLU-RAY P DRAMA","2019-12-22 16:50:51-06",12,"abdf "
"27","Better call Saul. Season four.","","|aBET SEASON 4","2020-01-21 19:08:05-06",12,"advv "
"27","Long shot","","|aBLU-RAY L COMEDY","2020-01-07 20:34:17-06",12,"abdf "
"27","An acceptable loss.","","|aBLU-RAY A DRAMA","2019-12-27 17:02:05-06",12,"abdf "
"27","Agents of S.H.I.E.L.D. The complete fifth season.","","|aAGE SEASON 5","2019-12-20 16:56:16-06",12,"abdv "
"27","Shadow","","|aDVD S WORLD (CHINESE)","2020-01-13 18:07:34-06",12,"advdf"
"27","After the storm","","|aAFT","2020-01-19 16:34:21-06",12,"advv "
"27","101 dalmatians II [videorecording] : Patch's London adventure","","|aDVD DIS","2020-01-20 17:55:42-06",38,"jdvdf"
"27","The curse of La Llorona","","|aBLU-RAY C HORROR","2020-01-14 13:48:01-06",12,"abdf "
"27","It.","","|aDVD I HORROR","2020-01-08 20:47:02-06",12,"advdf"
"27","Metro exodus","","|aPLAYSTATION 4-M","2020-01-15 13:15:59-06",24,"avg  "
"27","The best of enemies","","|aDVD B DRAMA","2020-01-07 17:59:12-06",12,"advdf"
"27","Tom Clancy's Jack Ryan. Season one","","|aJAC SEASON 1","2020-01-16 19:42:15-06",12,"advv "
"27","The upside","","|aDVD U COMEDY","2020-01-23 12:05:31-06",12,"advdf"
"27","Chasing the moon.","","|a629.454 C","2019-12-23 16:07:18-06",13,"abdn "
"27","Unplanned.","","|aDVD U DRAMA","2020-01-21 12:20:20-06",12,"advdf"
"27","Unplanned.","","|aDVD U DRAMA","2020-01-23 14:49:11-06",12,"advdf"
"27","The biggest little farm","","|a630 BIG","2020-01-15 11:57:01-06",13,"advdn"
"27","Booksmart","","|aDVD B COMEDY","2020-01-21 13:14:51-06",23,"advh "
"27","Dragged across concrete.","","|aBLU-RAY D DRAMA","2020-01-13 19:39:18-06",12,"abdf "
"27","Liar. Season one","","|aLIA SEASON 1","2019-12-20 13:31:23-06",12,"advv "
"27","Dumbo","","|aDVD D","2020-01-09 13:28:55-06",38,"jdvdf"
"27","The intruder","","|aBLU-RAY I DRAMA","2019-12-31 10:03:44-06",12,"abdf "
"27","Pokémon Detective Pikachu","","|aDVD P","2020-01-14 18:58:08-06",40,"jdvh "
"27","Hellboy","","|aBLU-RAY H SF/FANTASY","2019-12-30 16:08:21-06",12,"abdf "
"27","The biggest little farm","","|a630 BIG","2020-01-18 09:08:22-06",23,"advh "
"27","Wonder park","","|aDVD W","2020-01-25 16:57:32-06",40,"jdvh "
"26","The best of enemies","","|aDVD B DRAMA","2020-01-08 16:33:48-06",12,"advdf"
"26","Captive state","","|aDVD C SF/FANTASY","2020-01-17 20:53:47-06",12,"advdf"
"26","The public","","|aDVD P DRAMA","2020-01-20 15:13:03-06",12,"advdf"
"26","Ruben Brandt, collector.","","|aDVD R DRAMA","2019-12-08 13:20:21-06",12,"advdf"
"26","High life","","|aBLU-RAY H SF/FANTASY","2019-12-21 13:29:22-06",12,"abdf "
"26","All is true.","","|aDVD A DRAMA","2020-01-24 12:52:52-06",23,"advh "
"26","Far from the tree","","|a305.908083 F","2020-01-17 14:12:39-06",13,"advdn"
"26","Breakthrough","","|aBLU-RAY B DRAMA","2019-12-26 15:47:43-06",12,"abdf "
"26","John Wick","","|aDVD J ACTION/ADVENTURE","2019-12-19 16:19:32-06",12,"advdf"
"26","Against the clock","","|aDVD A SF/FANTASY","2020-01-17 14:10:45-06",12,"advdf"
"26","The LEGO movie 2 videogame.","","|aNINTENDO SWITCH-L","2020-01-14 14:51:04-06",45,"jvg  "
"26","Cold pursuit.","","|aDVD C ACTION/ADVENTURE","2019-12-29 12:39:31-06",12,"advdf"
"26","Ma","","|aDVD M HORROR","2020-01-21 12:57:11-06",23,"advh "
"26","Fireman Sam.","","|aDVD F","2019-12-31 15:01:43-06",38,"jdvdp"
"26","The hustle","","|aDVD H COMEDY","2020-01-11 12:25:40-06",12,"advdf"
"26","Cold pursuit.","","|aDVD C ACTION/ADVENTURE","2020-01-05 15:46:29-06",12,"advdf"
"26","Teen spirit.","","|aDVD T DRAMA","2019-12-30 14:50:53-06",12,"advdf"
"26","Titans. The complete first season.","","|aTIT SEASON 1","2019-12-28 16:51:43-06",12,"advv "
"26","The tomorrow man","","|aDVD T DRAMA","2020-01-10 14:42:22-06",12,"advdf"
"26","The LEGO movie 2 videogame.","","|aNINTENDO SWITCH-L","2020-01-11 11:07:33-06",45,"jvg  "
"26","Hellboy","","|aBLU-RAY H SF/FANTASY","2019-12-09 14:00:53-06",12,"abdf "
"26","The white crow","","|aDVD W DRAMA","2020-01-14 15:25:17-06",12,"advdf"
"26","Captain Marleau. Volume 2","","|aCAP VOLUME 2","2019-12-30 10:30:28-06",12,"advv "
"26","The tomorrow man","","|aDVD T DRAMA","2020-01-23 15:14:29-06",12,"advdf"
"26","The tomorrow man","","|aDVD T DRAMA","2020-01-24 16:46:20-06",12,"advdf"
"26","The sun is also a star","","|aDVD S DRAMA","2020-01-16 12:56:35-06",23,"advh "
"26","Snipperclips plus : cut it out, together!","","|aNINTENDO SWITCH-S","2020-01-24 17:12:51-06",45,"jvg  "
"26","The hustle","","|aDVD H COMEDY","2020-01-19 17:10:18-06",12,"advdf"
"26","Tolkien","","|aDVD T DRAMA","2020-01-21 14:09:18-06",23,"advh "
"26","John Wick. Chapter 2","","|aDVD J ACTION/ADVENTURE","2020-01-15 14:01:52-06",12,"advdf"
"26","John Wick. Chapter 2","","|aDVD J ACTION/ADVENTURE","2020-01-04 15:16:27-06",12,"advdf"
"26","Blue bloods. The ninth season","","|aBLU SEASON 9","2020-01-16 13:44:49-06",12,"advv "
"26","Shazam!","","|aBLU-RAY S ACTION/ADVENTURE","2020-01-20 17:53:11-06",12,"abdf "
"26","Captain Marvel.","","|aDVD C ACTION/ADVENTURE","2020-01-15 15:05:37-06",12,"advdf"
"26","The white crow","","|aDVD W DRAMA","2020-01-16 12:36:39-06",12,"advdf"
"26","Howie Mandel's animals doing things. Season 2.","","|a591.5 HOW","2020-01-06 11:26:50-06",13,"advdn"
"26","John Wick","","|aDVD J ACTION/ADVENTURE","2020-01-08 14:47:05-06",12,"advdf"
"26","The public","","|aDVD P DRAMA","2020-01-25 17:26:50-06",12,"advdf"
"26","Paw patrol. The great snow rescue","","|aDVD P","2020-01-06 16:44:39-06",38,"jdvdp"
"26","On the basis of sex","","|aDVD O DRAMA","2020-01-18 13:38:10-06",12,"advdf"
"26","The intruder","","|aDVD I DRAMA","2020-01-03 15:56:59-06",12,"advdf"
"26","Above the shadows.","","|aDVD A DRAMA","2020-01-23 13:08:44-06",12,"advdf"
"26","From the Earth to the moon","","|aFRO ","2019-12-05 18:14:40-06",12,"advv "
"26","The public","","|aBLU-RAY P DRAMA","2019-12-30 16:55:07-06",12,"abdf "
"26","Isn't it romantic","","|aDVD I COMEDY","2020-01-19 14:49:56-06",12,"advdf"
"26","The public","","|aBLU-RAY P DRAMA","2020-01-13 09:06:47-06",12,"abdf "
"26","Shadow","","|aDVD S WORLD (CHINESE)","2020-01-24 20:31:46-06",12,"advdf"
"26","Hail Satan?","","|a261.72 HAI","2020-01-03 17:21:32-06",13,"advdn"
"26","Shakespeare & Hathaway : private investigators. Season two.","","|aSHA SEASON 2","2019-12-27 15:57:13-06",12,"advv "
"26","Alcatraz.","","|aDVD A ACTION/ADVENTURE","2020-01-14 17:27:55-06",12,"advdf"
"26","Never look away","","|aDVD N WORLD (GERMAN)","2020-01-22 17:02:35-06",12,"advdf"
"26","The mustang","","|aDVD M DRAMA","2020-01-20 14:37:01-06",12,"advdf"
"26","Jumanji. Welcome to the jungle","","|aDVD J ACTION/ADVENTURE","2020-01-27 10:56:27-06",12,"advdf"
"26","Saint Judy","","|aDVD S DRAMA","2020-01-05 17:59:08-06",12,"advdf"
"26","Tolkien","","|aDVD T DRAMA","2020-01-07 10:47:28-06",12,"advdf"
"26","Shadow","","|aBLU-RAY S WORLD (CHINESE)","2020-01-14 13:27:01-06",12,"abdf "
"26","The last survivors","","|a940.53180922 L","2019-12-30 16:28:22-06",13,"advdn"
"26","Jumanji. Welcome to the jungle","","|aDVD J ACTION/ADVENTURE","2020-01-05 15:14:07-06",12,"advdf"
"26","Brightburn","","|aBLU-RAY B HORROR","2020-01-17 13:36:35-06",12,"abdf "
"26","Little","","|aBLU-RAY L COMEDY","2019-12-30 15:04:14-06",12,"abdf "
"26","Ma","","|aBLU-RAY M HORROR","2020-01-25 11:14:33-06",23,"abhp "
"26","Ma","","|aDVD M HORROR","2020-01-18 09:46:07-06",12,"advdf"
"26","The LEGO movie 2. The second part","","|aDVD L","2020-01-20 19:24:17-06",38,"jdvdf"
"26","Tolkien","","|aDVD T DRAMA","2020-01-06 15:21:37-06",23,"advh "
"26","Little","","|aDVD L COMEDY","2020-01-15 20:35:02-06",12,"advdf"
"26","I am the night","","|aI","2020-01-18 12:58:06-06",12,"advv "
"26","The Sandhamn murders. Volume 2","","|aSAN VOLUME 2","2020-01-21 15:39:21-06",12,"advv "
"26","Tolkien","","|aDVD T DRAMA","2020-01-22 15:39:29-06",12,"advdf"
"26","The intruder","","|aDVD I DRAMA","2019-12-29 14:49:03-06",23,"advh "
"26","All is true.","","|aDVD A DRAMA","2020-01-21 13:14:47-06",23,"advh "
"26","Jamestown. Season 3.","","|aJAM SEASON 3","2020-01-16 12:12:41-06",12,"advv "
"26","Another shot","","|a796.323 A","2020-01-02 13:44:24-06",13,"advdn"
"26","Brexit : the uncivil war.","","|aBRE","2020-01-17 10:18:24-06",12,"advv "
"26","The intruder","","|aBLU-RAY I DRAMA","2019-12-16 20:14:40-06",12,"abdf "
"26","Little Woods.","","|aDVD L DRAMA","2019-12-26 20:54:38-06",12,"advdf"
"26","The hustle","","|aDVD H COMEDY","2020-01-18 15:17:19-06",23,"advh "
"26","The hustle","","|aDVD H COMEDY","2020-01-15 16:54:09-06",23,"advh "
"26","Pokémon Detective Pikachu","","|aBLU-RAY P","2020-01-12 12:35:54-06",40,"jbhp "
"26","Everybody knows","","|aBLU-RAY E WORLD (SPANISH)","2020-01-07 18:44:43-06",12,"abdf "
"26","Second act","","|aDVD S COMEDY","2020-01-18 16:16:19-06",12,"advdf"
"26","Amazing grace","","|a782.254 FRA","2020-01-21 12:20:09-06",23,"advh "
"26","Instant family.","","|aDVD I COMEDY","2020-01-04 17:45:36-06",12,"advdf"
"26","Breakthrough","","|aDVD B DRAMA","2020-01-08 16:33:51-06",12,"advdf"
"26","The aftermath.","","|aBLU-RAY A DRAMA","2020-01-14 19:26:27-06",12,"abdf "
"26","Rocketman","","|aDVD R DRAMA","2020-01-24 15:48:38-06",12,"advdf"
"26","Transit","","|aDVD T WORLD (MULTILINGUAL)","2020-01-18 12:33:35-06",12,"advdf"
"26","Rocketman","","|aDVD R DRAMA","2020-01-21 09:52:58-06",12,"advdf"
"26","The hustle","","|aBLU-RAY H COMEDY","2020-01-15 13:42:23-06",23,"abhp "
"26","The hummingbird project.","","|aDVD H DRAMA","2019-12-30 14:28:03-06",12,"advdf"
"26","Kirby. Star Allies","","|aNINTENDO SWITCH-K","2020-01-06 17:06:33-06",45,"jvg  "
"26","Transit","","|aBLU-RAY T WORLD (MULTILINGUAL)","2020-01-15 09:51:04-06",12,"abdf "
"26","Godzilla : king of the monsters","","|aBLU-RAY G SF/FANTASY","2020-01-15 20:52:19-06",12,"abdf "
"26","Working woman.","","|aDVD W WORLD (HEBREW)","2020-01-02 12:48:51-06",12,"advdf"
"26","Amazing grace","","|a782.254 FRA","2020-01-17 18:17:45-06",13,"advdn"
"26","Transit","","|aBLU-RAY T WORLD (MULTILINGUAL)","2019-12-26 17:49:56-06",12,"abdf "
"26","We have always lived in the castle","","|aDVD W HORROR","2020-01-11 15:50:03-06",23,"advh "
"26","Hotel Mumbai","","|aDVD H DRAMA","2020-01-16 17:18:16-06",12,"advdf"
"26","Pimped","","|aDVD P DRAMA","2020-01-13 17:36:19-06",12,"advdf"
"26","Better call Saul. Season four.","","|aBET SEASON 4","2019-12-26 20:10:57-06",12,"advv "
"26","Casino","","|aBLU-RAY C DRAMA","2020-01-19 17:48:55-06",12,"abdf "
"26","We die young.","","|aDVD W ACTION/ADVENTURE","2020-01-21 10:00:22-06",12,"advdf"
"26","The hustle","","|aDVD H COMEDY","2020-01-28 16:56:00-06",12,"advdf"
"26","Wonder park","","|aDVD W","2020-01-17 14:31:00-06",40,"jdvh "
"26","The dead don't die","","|aBLU-RAY D COMEDY","2020-01-20 18:00:16-06",23,"abhp "
"26","High life","","|aDVD H SF/FANTASY","2019-12-28 11:17:47-06",23,"advh "
"26","Camping.","","|aCAM","2020-01-20 14:34:06-06",12,"advv "
"26","Vault","","|aDVD V DRAMA","2020-01-17 18:51:21-06",12,"advdf"
"26","High life","","|aBLU-RAY H SF/FANTASY","2020-01-20 17:00:17-06",12,"abdf "
"26","Killing Eve. Season two","","|aKIL SEASON 2","2020-01-13 10:46:03-06",12,"advv "
"26","Isn't it romantic","","|aDVD I COMEDY","2020-01-13 13:25:27-06",12,"advdf"
"26","The biggest little farm","","|a630 BIG","2020-01-23 17:19:34-06",23,"advh "
"26","The city & the city","","|aCIT","2020-01-08 11:36:37-06",12,"advv "
"26","Poms","","|aDVD P COMEDY","2019-12-17 15:48:15-06",12,"advdf"
"26","Unplanned.","","|aDVD U DRAMA","2020-01-17 19:01:43-06",23,"advh "
"26","Poms","","|aDVD P COMEDY","2019-12-31 13:21:40-06",12,"advdf"
"26","Poms","","|aDVD P COMEDY","2020-01-22 18:30:29-06",23,"advh "
"26","Batman. Hush","","|aDVD B SF/FANTASY","2020-01-21 10:33:22-06",12,"advdf"
"26","Body at Brighton Rock","","|aDVD B DRAMA","2019-12-30 17:43:54-06",12,"advdf"
"26","Mario tennis aces.","","|aNINTENDO SWITCH-M","2020-01-11 11:09:48-06",45,"jvg  "
"25","Captive state","","|aDVD C SF/FANTASY","2019-12-23 10:46:11-06",12,"advdf"
"25","Booksmart","","|aDVD B COMEDY","2020-01-06 18:05:42-06",12,"advdf"
"25","Pokémon Detective Pikachu","","|aDVD P","2020-01-19 17:08:46-06",40,"jdvh "
"25","Ugly dolls","","|aBLU-RAY U","2020-01-27 09:47:12-06",40,"jbhp "
"25","Triple threat","","|aDVD T ACTION/ADVENTURE","2020-01-04 15:54:50-06",12,"advdf"
"25","Poms","","|aBLU-RAY P COMEDY","2020-01-08 17:36:46-06",12,"abdf "
"25","Jumanji. Welcome to the jungle","","|aDVD J ACTION/ADVENTURE","2020-01-21 10:00:24-06",12,"advdf"
"25","Jumanji. Welcome to the jungle","","|aDVD J ACTION/ADVENTURE","2020-01-16 12:06:21-06",12,"advdf"
"25","Tolkien","","|aDVD T DRAMA","2020-01-20 09:09:38-06",23,"advh "
"25","Hellboy","","|aDVD H SF/FANTASY","2020-01-17 14:57:04-06",12,"advdf"
"25","Batman vs Teenage Mutant Ninja Turtles","","|aBLU-RAY B SF/FANTASY","2020-01-17 11:19:48-06",12,"abdf "
"25","Play or die","","|aDVD P HORROR","2020-01-28 11:40:14-06",12,"advdf"
"25","The LEGO movie 2. The second part","","|aDVD L","2020-01-16 19:38:18-06",38,"jdvdf"
"25","The sun is also a star","","|aDVD S DRAMA","2020-01-30 08:56:23-06",12,"advdf"
"25","They shall not grow old","","|a940.3 T","2020-01-02 13:55:25-06",13,"advdn"
"25","A dog's journey.","","|aDVD D DRAMA","2020-01-21 15:06:48-06",23,"advh "
"25","Paw patrol. The great pirate rescue!.","","|aDVD P","2019-12-29 14:47:29-06",38,"jdvdp"
"25","Missing link","","|aDVD M","2020-01-09 20:13:09-06",40,"jdvh "
"25","The white crow","","|aDVD W DRAMA","2020-01-18 13:19:49-06",23,"advh "
"25","The upside","","|aDVD U COMEDY","2020-01-25 13:03:51-06",12,"advdf"
"25","After","","|aDVD A DRAMA","2019-12-31 10:33:46-06",12,"advdf"
"25","The upside","","|aDVD U COMEDY","2020-01-18 15:21:39-06",12,"advdf"
"25","Splatoon 2.","","|aNINTENDO SWITCH-S","2020-01-22 17:41:29-06",45,"jvg  "
"25","Straight forward. [Season 1].","","|aSTR SEASON 1","2020-01-04 09:40:34-06",12,"advv "
"25","Alita : battle angel","","|aBLU-RAY A ACTION/ADVENTURE","2019-12-26 15:13:31-06",12,"abdf "
"25","The upside","","|aDVD U COMEDY","2020-01-12 13:08:28-06",12,"advdf"
"25","Paw patrol. Meet Everest!","","|aDVD P","2020-01-10 11:38:12-06",38,"jdvdp"
"25","The tomorrow man","","|aDVD T DRAMA","2020-01-19 16:17:43-06",23,"advh "
"25","After","","|aDVD A DRAMA","2019-12-31 15:05:57-06",12,"advdf"
"25","A dog's journey.","","|aDVD D DRAMA","2020-01-15 17:07:40-06",12,"advdf"
"25","The sun is also a star","","|aDVD S DRAMA","2020-01-22 20:41:13-06",23,"advh "
"25","Cold pursuit.","","|aDVD C ACTION/ADVENTURE","2020-01-22 17:53:50-06",12,"advdf"
"25","Paw patrol. Ultimate rescue.","","|aDVD P","2020-01-10 18:09:00-06",38,"jdvdp"
"25","Donnybrook","","|aDVD D ACTION/ADVENTURE","2020-01-18 12:58:54-06",12,"advdf"
"25","The upside","","|aDVD U COMEDY","2020-01-13 20:46:21-06",12,"advdf"
"25","Team Sonic racing.","","|aNINTENDO SWITCH-T","2020-01-03 10:45:00-06",45,"jvg  "
"25","Splatoon 2.","","|aNINTENDO SWITCH-S","2020-01-19 14:41:00-06",45,"jvg  "
"25","Long shot","","|aDVD L COMEDY","2020-01-20 13:27:38-06",12,"advdf"
