ItemType,Title,Author,CopyrightDate,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,Barcode,Bib Marc Tag Number,Bib Marc Subfield Name,Bib Marc Subfield Data
TBOOK,Be unstoppable : the art of never giving up /,"Hamilton, Bethany,",2018,11/1/19,Library 21c,$8.90 ,BIOGRAPHY,12/17/19,158.1 HAMI,213507312,300,a,1 volume (unpaged) :
TBOOK,Be unstoppable : the art of never giving up /,"Hamilton, Bethany,",2018,11/1/19,Library 21c,$8.90 ,BIOGRAPHY,12/17/19,158.1 HAMI,213507312,300,c,25 cm
TCDBOOK,Call down the hawk,"Stiefvater, Maggie,",2019,11/1/19,Distribution Facility,$24.74 ,CHECKEDOUT,1/29/20,STIE 12-DISCS,213051105,300,a,"12 audio discs (13 hr., 47 min.) :"
TCDBOOK,Call down the hawk,"Stiefvater, Maggie,",2019,11/1/19,Distribution Facility,$24.74 ,CHECKEDOUT,1/29/20,STIE 12-DISCS,213051105,300,c,4 3/4 in.
TCDBOOK,Call down the hawk,"Stiefvater, Maggie,",2019,11/1/19,Library 21c,$24.74 ,CHECKEDOUT,1/27/20,STIE 12-DISCS,213051089,300,a,"12 audio discs (13 hr., 47 min.) :"
TCDBOOK,Call down the hawk,"Stiefvater, Maggie,",2019,11/1/19,Library 21c,$24.74 ,CHECKEDOUT,1/27/20,STIE 12-DISCS,213051089,300,c,4 3/4 in.
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039573,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039573,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179039607,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179039607,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Palmer Lake Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039581,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Palmer Lake Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039581,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179039615,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179039615,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/24/20,LOOK,179039631,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/24/20,LOOK,179039631,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Monument Library,$4.19 ,CHECKEDOUT,2/4/20,LOOK,179039599,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Monument Library,$4.19 ,CHECKEDOUT,2/4/20,LOOK,179039599,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/27/20,LOOK,179039623,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/27/20,LOOK,179039623,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/30/20,LOOK,179040589,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/30/20,LOOK,179040589,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,INTRANSIT,2/3/20,AART,179040563,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,INTRANSIT,2/3/20,AART,179040563,300,c,19 cm
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,INTRANSIT,1/3/20,AART,179039649,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a helicopter! /",,2019,11/1/19,East Library,$4.19 ,INTRANSIT,1/3/20,AART,179039649,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/25/20,LOOK,179039862,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/25/20,LOOK,179039862,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039870,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039870,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Rockrimmon Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039912,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Rockrimmon Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039912,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/23/20,LOOK,179039839,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/23/20,LOOK,179039839,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/31/20,LOOK,179039847,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/31/20,LOOK,179039847,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/27/20,LOOK,179039888,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/27/20,LOOK,179039888,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Monument Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039920,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Monument Library,$4.19 ,CHECKEDOUT,2/3/20,LOOK,179039920,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179039904,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179039904,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/28/20,LOOK,179039938,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/28/20,LOOK,179039938,300,c,19 cm
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Sand Creek Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039854,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a rocket! /",,2018,11/1/19,Sand Creek Library,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179039854,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038559,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038559,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179038567,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179038567,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,2/1/20,LOOK,179039896,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,2/1/20,LOOK,179039896,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179040332,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/17/20,LOOK,179040332,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,1/30/20,LOOK,179038575,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,1/30/20,LOOK,179038575,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/26/20,LOOK,179038583,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/26/20,LOOK,179038583,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038534,300,a,1 volume (unpaged) :
