TotalCheckouts,Title,CallNumber,Author,OwningLibrary,Publisher ,CopyrightDate,datelastborrowed,itype,itemcode
2,Lure of oblivion /,WRIG,"Wright, Suzanne,",Sand Creek Library,"Montlake Romance,",2017,1/8/20,BOOK,FICTION
3,Woman in our house /,HART,"Hart, Andrew.",Fountain Library,"Lake Union Publishing,",2019,12/5/19,BOOK,NEW
4,Woman in our house /,HART,"Hart, Andrew.",East Library,"Lake Union Publishing,",2019,1/20/20,BOOK,NEW
4,Who told you that you were naked? : a study of the conscience /,248.4 WOMM,"Wommack, Andrew.",Library 21c,"Harrison House Inc.,",2018,1/25/20,BOOK,NEW
5,Who told you that you were naked? : a study of the conscience /,248.4 WOMM,"Wommack, Andrew.",East Library,"Harrison House Inc.,",2018,1/20/20,BOOK,NEW
1,Let loose the dogs /,JENN,"Jennings, Maureen.",Library 21c,"McClelland & Stewart,",2010,12/2/19,BOOK,MYSTERY
1,Let loose the dogs /,JENN,"Jennings, Maureen.",Penrose Library,"McClelland & Stewart,",2010,8/5/19,BOOK,MYSTERY
2,Under the dragon's tail /,JENN,"Jennings, Maureen,",East Library,"McClelland & Stewart,",2012,10/2/19,BOOK,MYSTERY
0,Under the dragon's tail /,JENN,"Jennings, Maureen,",Palmer Lake Library,"McClelland & Stewart,",2012,8/19/19,BOOK,MYSTERY
1,Vices of my blood /,JENN,"Jennings, Maureen.",East Library,"McClelland & Stewart,",2013,7/25/19,BOOK,MYSTERY
3,Vices of my blood /,JENN,"Jennings, Maureen.",Monument Library,"McClelland & Stewart,",2013,12/27/19,BOOK,MYSTERY
2,Doctor Zhivago a novel /,PAST 1-DEVICE,"Pasternak, Boris Leonidovich,",Cheyenne Mountain Library,"Findaway World, LLC,",2011,1/24/20,PLAYER,BKPLAYER
1,Doctor Zhivago a novel /,PAST 1-DEVICE,"Pasternak, Boris Leonidovich,",Fountain Library,"Findaway World, LLC,",2011,1/24/20,PLAYER,BKPLAYER
0,"Abstracts of the land records of Albany County, New York 1774-1797 : including tax lists for 1779 /",929.374742 B967,"Burns, Brendon S.",Carnegie-Special Collections,"[Brendon S. Burns],",2017,9/12/19,SC-BOOK,GENBOOK
0,"Abstracts of the land records of Westchester County, New York 1774-1801 : including tax lists for 1779 /",929.374727 B967,"Burns, Brendon S.",Carnegie-Special Collections,"[Brendon S. Burns],",2019,9/12/19,SC-BOOK,GENBOOK
0,"Abstracts of the Orphans Court proceedings of Harford County, Maryland, 1778-1800 /",929.375274 P371AB,"Peden, Henry C.,",Carnegie-Special Collections,"Heritage Books,",2008,9/9/19,SC-BOOK,GENBOOK
0,Cabell County's [West] Virginia empire for freedom : the manumission of Sampson Sanders' slaves /,975.442 E379 2016,"Eldridge, Carrie.",Carnegie-Special Collections,"Willow Bend Books,",2016,8/26/19,SC-BOOK,SCHBOOK
0,"Cemeteries of ... Dakota County, Minnesota /",929.509776 D135 V.2,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,8/28/19,SC-BOOK,GENBOOK
0,"Cemeteries of ... Dakota County, Minnesota /",929.509776 D135 V.1,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,8/28/19,SC-BOOK,GENBOOK
0,"Cemeteries of central and southwestern Hennepin County, Minnesota /",929.509776 H515,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,9/4/19,SC-BOOK,GENBOOK
0,"Cemeteries of ... Carver County, Minnesota /",929.509776 C331 V.1,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,8/28/19,SC-BOOK,GENBOOK
0,"Cemeteries of ... Carver County, Minnesota /",929.509776 C331 V.2,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,8/28/19,SC-BOOK,GENBOOK
0,"Cemeteries of Hennepin County, Minnesota - Edina and Richfield /",929.509776 H515BO,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,9/4/19,SC-BOOK,GENBOOK
0,"Cemeteries of Hennepin County, Minnesota - South Minneapolis and Bloomington /",929.509776 H515B,"Boe, Debbie,",Carnegie-Special Collections,"D. Boe,",2010,9/4/19,SC-BOOK,GENBOOK
0,"Cemetery records of Lincoln - Moore Counties, Tennessee /",929.509768 L738,"Marsh, Helen Crawford.",Carnegie-Special Collections,"Southern Historical Press,",1996,8/26/19,SC-BOOK,GENBOOK
0,"Cemetery records of Somerset County, Maryland /",929.509752 S695,"Dryden, Ruth T.",Carnegie-Special Collections,"Heritage Books,",2011,9/10/19,SC-BOOK,GENBOOK
0,"Estate settlements in Blount County, Tennessee, naming heirs : extracted from Execution Book II, Chancery Court, Feb. 1872 - Feb. 1893 ; Execution Book II, County Court, Apr. 1893 - Feb. 1915 ; and the workbook of James A. Greer, clerk and master, Chancery Court, 1885-1890 /",929.376888 D637,"Dockter, Albert W.",Carnegie-Special Collections,"Heritage Books,",1996,8/26/19,SC-BOOK,GENBOOK
0,"Free At Last, Free At Last, Thank God Almighty, I'm Free At Last: A Photographic & Historical Guide to African American Cemeteries In New Jersey, Penn",ON ORDER,"Walker, Lawrence E.",Carnegie-Special Collections,Purehistory,2019,1/1/00,SC-BOOK,GENBOOK
0,"Gates County, North Carolina, court minutes /",929.375615 L188,North Carolina. County Court (Gates County),Carnegie-Special Collections,"Poe Publishers,",1979,9/25/19,SC-BOOK,GENBOOK
0,A history of James Island slave descendants & plantation owners : the bloodline /,975.7915 F848 2010,"Frazier, Eugene,",Carnegie-Special Collections,"History Press,",2010,12/19/19,SC-BOOK,SCHNEW
0,"Appanoose County, Iowa cemeteries.",929.509777 A646 V.3,,Carnegie-Special Collections,"Appanoose County Genealogy Society,",1990,8/26/19,SC-BOOK,GENBOOK
0,"Jasper County, Iowa, cemeteries /",929.509777 J394 V.20,,Carnegie-Special Collections,"Iowa Genealogical Society,",1994,8/26/19,SC-BOOK,GENBOOK
0,Madison's heritage rediscovered : stories from a historic Kentucky county /,976.953 E582 2012,"Engle, Fred A.,",Carnegie-Special Collections,"History Press,",2012,9/9/19,SC-BOOK,SCHBOOK
0,"National intelligencer newspaper abstracts, 1814-1817 /",929.3753 D621NATI,"Dixon, Joan M. (Joan Marie)",Carnegie-Special Collections,"Heritage Books,",2007,9/9/19,SC-BOOK,GENBOOK
0,"National intelligencer newspaper abstracts, 1845 /",929.3753 D621NA,"Dixon, Joan M. (Joan Marie)",Carnegie-Special Collections,"Heritage Books,",2006,9/9/19,SC-BOOK,GENBOOK
0,National intelligencer & Washington advertiser newspaper abstracts /,929.3753 D621 V.1,"Dixon, Joan M. (Joan Marie)",Carnegie-Special Collections,"Heritage Books,",1996,9/12/19,SC-BOOK,GENBOOK
0,"A Sacred high place : a history of Mount Carmel Cemetery & Meetinghouse, McNairy County, Tennessee ; including an updated census of the cemetery /",929.509768 M169,"Talbott, John E.",Carnegie-Special Collections,"Braybree Pub.,",2013,9/9/19,SC-BOOK,GENBOOK
0,"Seventy years in Norton County, Kansas, 1872-1942 /",978.1155 B786 1942,"Bowers, Darius N.",Carnegie-Special Collections,"Norton County Champion,",1942,9/9/19,SC-BOOK,SCHBOOK
0,"Annotated abstracts of the successions, 1811-1834 /",929.376342 S215 V.1,"Sanders, Mary Elizabeth,",Carnegie-Special Collections,"Pelican Pub. Co.,",2010,9/25/19,SC-BOOK,GENBOOK
0,"Selected annotated abstracts of court records, 1811-1837 /",929.376342 S215 V.3,"Sanders, Mary Elizabeth,",Carnegie-Special Collections,"Pelican Pub. Co.,",2002,9/25/19,SC-BOOK,GENBOOK
0,"Selected annotated abstracts of marriage book 1, 1811-1829 /",929.376342 S215 V.2,"Sanders, Mary Elizabeth,",Carnegie-Special Collections,"Pelican Pub. Co.,",2002,9/25/19,SC-BOOK,GENBOOK
0,"Union Cemetery, Leesburg, Loudoun County, Virginia : plats A & B, 1784-1995 /",929.509755 L487 V.1,"Frain, Elizabeth R.",Carnegie-Special Collections,"Willow Bend Books,",1995,9/9/19,SC-BOOK,GENBOOK
0,"Union cemetery, Leesburg, Loudoun County, Virginia : the later plats, 1880-1995 /",929.509755 L487 V.2,"Frain, Elizabeth R.",Carnegie-Special Collections,"Willow Bend Books,",1997,9/25/19,SC-BOOK,GENBOOK
0,The valley's legends & legacies V /,979.482 R345 2004,"Rehart, Catherine Morison,",Carnegie-Special Collections,"Word Dancer Press,",2004,9/26/19,SC-BOOK,SCHBOOK
0,"Windows on the past : the cultural heritage of Vardy, Hancock County, Tennessee /",976.8946 O963 2005,"Overbay, DruAnna Williams,",Carnegie-Special Collections,"Mercer University Press,",2005,9/25/19,SC-BOOK,SCHBOOK
14,Cross Creek,CROS 1-DISC,,Mobile Libraries,"Lionsgate,",2009,1/20/20,DVD,DVD
16,Cross Creek,CROS 1-DISC,,Penrose Library,"Lionsgate,",2009,1/22/20,DVD,DVD
13,Cross Creek,CROS 1-DISC,,Library 21c,"Lionsgate,",2009,1/23/20,DVD,DVD
13,Cross Creek,CROS 1-DISC,,Cheyenne Mountain Library,"Lionsgate,",2009,2/4/20,DVD,DVD
1,My sweet orange tree : the story of a little boy who discovered pain /,VASC,"Vasconcelos, José Mauro de,",East Library,"Candlewick Press,",2019,10/27/19,TBOOK,TEENFIC
2,My sweet orange tree : the story of a little boy who discovered pain /,VASC,"Vasconcelos, José Mauro de,",East Library,"Candlewick Press,",2019,1/22/20,TBOOK,TEENFIC
8,Dear wife,BELL 8-DISCS,"Belle, Kimberly.",Cheyenne Mountain Library,"Harlequin Audio,",2019,1/26/20,CDBOOK,CDBOOK
8,Dear wife,BELL 8-DISCS,"Belle, Kimberly.",Cheyenne Mountain Library,Harper Collins Publishers :,2019,1/26/20,CDBOOK,CDBOOK
7,Dear wife,BELL 8-DISCS,"Belle, Kimberly.",Library 21c,"Harlequin Audio,",2019,1/9/20,CDBOOK,CDBOOK
7,Dear wife,BELL 8-DISCS,"Belle, Kimberly.",Library 21c,Harper Collins Publishers :,2019,1/9/20,CDBOOK,CDBOOK
2,Cat under fire /,MURP,"Murphy, Shirley Rousseau.",Sand Creek Library,"HarperPrism,",1997,11/20/19,BOOK,MYSTERY
3,Cat under fire /,MURP,"Murphy, Shirley Rousseau.",Sand Creek Library,"HarperPrism,",1997,10/26/19,BOOK,MYSTERY
0,"Bucks County, Pennsylvania deed records, 1684-1763 /",929.374821 D262,"Davis, John David.",Carnegie-Special Collections,"Heritage Books,",1997,9/9/19,SC-BOOK,GENBOOK
0,"National intelligencer newspaper abstracts, 1824-1826 /",929.3753 D621NAT,"Dixon, Joan M. (Joan Marie)",Carnegie-Special Collections,"Heritage Books,",2006,9/9/19,SC-BOOK,GENBOOK
2,The art of dreaming /,135.3 CAST,"Castaneda, Carlos,",Penrose Library,"HarperPerennial,",1994,10/17/19,BOOK,NONFIC
4,The art of dreaming /,135.3 CAST,"Castaneda, Carlos,",Old Colorado City Library,"HarperPerennial,",1994,1/20/20,BOOK,NONFIC
1,A place of greater safety /,MANT,"Mantel, Hilary,",East Library,Atheneum :,1993,8/28/19,BOOK,FICTION
1,A place of greater safety /,MANT,"Mantel, Hilary,",East Library,"Maxwell Macmillan International,",1993,8/28/19,BOOK,FICTION
2,A place of greater safety /,MANT,"Mantel, Hilary,",Cheyenne Mountain Library,Atheneum :,1993,11/3/19,BOOK,FICTION
2,A place of greater safety /,MANT,"Mantel, Hilary,",Cheyenne Mountain Library,"Maxwell Macmillan International,",1993,11/3/19,BOOK,FICTION
3,Kakuriyo : bed & breakfast for spirits.,741.5952 KAKURIYO IOKA V.4,"Ioka, Waco,",Monument Library,"VIZ Media, LLC,",2019,1/1/20,BOOK,NONFIC
9,Kakuriyo : bed & breakfast for spirits.,741.5952 KAKURIYO IOKA V.4,"Ioka, Waco,",East Library,"VIZ Media, LLC,",2019,1/27/20,BOOK,NONFIC
5,The winds of change : a Richard Jury mystery /,GRIM,"Grimes, Martha.",East Library,"Signet,",2005,2/1/20,BOOK,MYSTERY
3,The winds of change : a Richard Jury mystery /,GRIM,"Grimes, Martha.",Penrose Library,"Signet,",2005,12/14/19,BOOK,MYSTERY
4,The miracles answer book /,231.73 STRO,"Strobel, Lee,",East Library,"Zondervan,",2019,1/29/20,BOOK,NEW
3,The miracles answer book /,231.73 STRO,"Strobel, Lee,",Rockrimmon Library,"Zondervan,",2019,2/1/20,BOOK,NEW
5,The miracles answer book /,231.73 STRO,"Strobel, Lee,",Ute Pass Library,"Zondervan,",2019,1/30/20,BOOK,NEW
5,The miracles answer book /,231.73 STRO,"Strobel, Lee,",Old Colorado City Library,"Zondervan,",2019,1/28/20,BOOK,NEW
0,A history of Beaver County pioneer families.,976.614 B386 V.1 1970,,Carnegie-Special Collections,"Beaver Co. Historical Soc.,",1970,8/26/19,SC-BOOK,SCHBOOK
0,A history of Beaver County pioneer families.,976.614 B386 V.2 1970,,Carnegie-Special Collections,"Beaver Co. Historical Soc.,",1970,8/26/19,SC-BOOK,SCHBOOK
0,"Monroe Co., Mo., Paris mercury newspaper abstracts, 1875-1877 /",929.377832 O123,"Oberhaus, Cheryl Stuart,",Carnegie-Special Collections,"K. Wilham,",1995,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Randolph Co, MO newspapers /",929.377828 R163 V.1,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2007,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Randolph Co, MO newspapers /",929.377828 R163 V.2,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2007,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Randolph Co, MO newspapers /",929.377828 R163 V.3,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2007,9/30/19,SC-BOOK,GENBOOK
0,"Audrain County, Missouri, marriages ... /",929.377833 W362 V.5,"Weant, Kenneth.",Carnegie-Special Collections,"State Historical Society of Missouri,",2001,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Boone Co., MO newspapers /",929.377829 R163 V.1,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2006,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Howard Co., Mo. newspapers /",929.377828 R163G V.1,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2004,9/30/19,SC-BOOK,GENBOOK
0,"Genealogical abstracts from Howard Co., Mo. newspapers /",929.377828 R163G V.2,"Raleigh-Adams, Sherry.",Carnegie-Special Collections,"Gone West Publications,",2004,9/30/19,SC-BOOK,GENBOOK
0,"Ralls County, Missouri : 2818 deaths reported in & chronological index to selected articles from the Ralls County record (includes 956 marriages) ; 25 June 1865 to 30 June 1911 /",929.377835 M678 V.1,"State Historical Society of Missouri (Columbia, Mo.)",Carnegie-Special Collections,"State Historical Society of Missouri,",2005,9/30/19,SC-BOOK,GENBOOK
0,"Ray County, Missouri /",929.377819 W362 V.1,"Weant, Kenneth.",Carnegie-Special Collections,"K.E. Weant,",2008,9/30/19,SC-BOOK,GENBOOK
0,"The 49ers : as reported in the [sic] The Missouri republican, St. Louis, Missouri /",977.8866 W362 V.1,"Weant, Kenneth.",Carnegie-Special Collections,"K.E. Weant,",2004,9/30/19,SC-BOOK,SCHBOOK
4,For whom the bell tolls : the Hemingway Library edition /,HEMI,"Hemingway, Ernest,",Monument Library,"Scribner,",2019,1/29/20,BOOK,NEW
6,For whom the bell tolls : the Hemingway Library edition /,HEMI,"Hemingway, Ernest,",Rockrimmon Library,"Scribner,",2019,2/4/20,BOOK,NEW
8,For whom the bell tolls : the Hemingway Library edition /,HEMI,"Hemingway, Ernest,",East Library,"Scribner,",2019,2/1/20,BOOK,NEW
0,Notre-Dame de Paris /,840.90091 HUGO,"Hugo, Victor,",Penrose Library,"Livre de poche,",1998,12/14/19,BOOK,NONFIC
7,Come September,COME 1-DISC,,Ruth Holley Library,"Universal Studios,",2003,1/3/20,DVD,DVD
11,Come September,COME 1-DISC,,Library 21c,"Universal Studios,",2003,1/22/20,DVD,DVD
13,Come September,COME 1-DISC,,Cheyenne Mountain Library,"Universal Studios,",2003,1/28/20,DVD,DVD
12,Jamestown.,JAME 2-DISCS,,Penrose Library,"PBS,",2019,1/27/20,DVD,DVD
13,Jamestown.,JAME 2-DISCS,,Penrose Library,"PBS,",2019,1/30/20,DVD,DVD
11,Jamestown.,JAME 2-DISCS,,Penrose Library,"PBS,",2019,2/2/20,DVD,DVD
8,Jamestown.,JAME 2-DISCS,,Penrose Library,"PBS,",2019,1/25/20,DVD,DVD
9,Jamestown.,JAME 2-DISCS,,Sand Creek Library,"PBS,",2019,2/4/20,DVD,DVD
13,Jamestown.,JAME 2-DISCS,,Rockrimmon Library,"PBS,",2019,1/28/20,DVD,DVD
15,Jamestown.,JAME 2-DISCS,,East Library,"PBS,",2019,2/2/20,DVD,DVD
8,Jamestown.,JAME 2-DISCS,,East Library,"PBS,",2019,1/16/20,DVD,DVD
13,Jamestown.,JAME 2-DISCS,,Ruth Holley Library,"PBS,",2019,1/30/20,DVD,DVD
7,Jamestown.,JAME 2-DISCS,,High Prairie Library,"PBS,",2019,1/30/20,DVD,DVD
8,Jamestown.,JAME 2-DISCS,,Ute Pass Library,"PBS,",2019,11/21/19,DVD,DVD
10,Magnum P.I.,MAGN 5-DISCS,,East Library,"Paramount,",2018,1/15/20,DVDSET,DVD
9,Magnum P.I.,MAGN 5-DISCS,,East Library,"Paramount,",2018,1/24/20,DVDSET,DVD
8,Magnum P.I.,MAGN 5-DISCS,,High Prairie Library,"Paramount,",2018,2/1/20,DVDSET,DVD
13,Magnum P.I.,MAGN 5-DISCS,,Old Colorado City Library,"Paramount,",2018,1/24/20,DVDSET,DVD
17,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/3/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/25/20,DVD,DVD
10,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/27/20,DVD,DVD
11,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/30/20,DVD,DVD
13,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/22/20,DVD,DVD
12,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/1/20,DVD,DVD
11,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/28/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/3/20,DVD,DVD
11,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/29/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/28/20,DVD,DVD
13,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/27/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/25/20,DVD,DVD
12,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/1/20,DVD,DVD
8,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/27/20,DVD,DVD
13,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/4/20,DVD,DVD
11,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/1/20,DVD,DVD
12,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/23/20,DVD,DVD
11,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/24/20,DVD,DVD
10,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/4/20,DVD,DVD
10,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/28/20,DVD,DVD
13,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/25/20,DVD,DVD
16,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/24/20,DVD,DVD
12,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/7/20,DVD,DVD
16,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/29/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/30/20,DVD,DVD
14,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,2/3/20,DVD,DVD
17,Tolkien,TOLK 1-DISC,,Distribution Facility,"20th Century Fox Home Entertainment,",2019,1/29/20,DVD,DVD
8,A very special favor,VERY 1-DISC,,Lobby Stop Van,"Universal,",2015,1/21/20,DVD,DVD
14,A very special favor,VERY 1-DISC,,East Library,"Universal,",2015,1/13/20,DVD,DVD
14,A very special favor,VERY 1-DISC,,Manitou Springs Library,"Universal,",2015,1/18/20,DVD,DVD
1,Haunted /,ARMS,"Armstrong, Kelley.",Library 21c,"Bantam Books,",2005,11/5/19,BOOK,FICTION
4,Haunted /,ARMS,"Armstrong, Kelley.",East Library,"Bantam Books,",2005,2/3/20,BOOK,FICTION
2,No humans involved /,ARMS,"Armstrong, Kelley.",East Library,"Bantam Books,",2008,8/13/19,BOOK,FICTION
4,No humans involved /,ARMS,"Armstrong, Kelley.",Sand Creek Library,"Bantam Books,",2008,12/29/19,BOOK,FICTION
0,City of Windows (CD),XX(1073707.1),"Pobi, Robert.",Distribution Facility,"Macmillan Audio,",2019,1/1/00,CDBOOK,ON-ORDER
1,Macbeth,SHAK 2-DISCS,"Shakespeare, William,",Library 21c,"Simon & Schuster Audio,",2014,8/18/19,CDBOOK,CDBOOK
2,Macbeth,SHAK 2-DISCS,"Shakespeare, William,",Fountain Library,"Simon & Schuster Audio,",2014,10/17/19,CDBOOK,CDBOOK
9,The turn of the key,WARE 10-DISCS,"Ware, Ruth,",Distribution Facility,"Simon & Schuster Audio,",2019,1/28/20,CDBOOK,CDBOOK
8,The turn of the key,WARE 10-DISCS,"Ware, Ruth,",Distribution Facility,"Simon & Schuster Audio,",2019,1/15/20,CDBOOK,CDBOOK
10,The turn of the key,WARE 10-DISCS,"Ware, Ruth,",Distribution Facility,"Simon & Schuster Audio,",2019,1/27/20,CDBOOK,CDBOOK
0,Selected poems /,821.8 TENN,"Tennyson, Alfred Tennyson,",Palmer Lake Library,"Penguin Books,",2007,8/5/19,BOOK,NONFIC
1,Selected poems /,821.8 TENN,"Tennyson, Alfred Tennyson,",Ruth Holley Library,"Penguin Books,",2007,8/8/19,BOOK,NONFIC
2,Christmas in Homestead /,TATE,"Tate, Kara.",Sand Creek Library,"Hallmark Publishing,",2017,1/2/20,BOOK,FICTION
2,Christmas in Homestead /,TATE,"Tate, Kara.",East Library,"Hallmark Publishing,",2017,9/7/19,BOOK,FICTION
0,Dater's handbook /,LOCK,"Lockwood, Cara.",Library 21c,"Hallmark Publishing,",2018,9/11/19,BOOK,NEW
2,Dater's handbook /,LOCK,"Lockwood, Cara.",East Library,"Hallmark Publishing,",2018,10/26/19,BOOK,NEW
1,The perfect catch /,CART,"Carter, Cassidy.",East Library,"Hallmark Publishing,",2017,8/8/19,BOOK,FICTION
2,The perfect catch /,CART,"Carter, Cassidy.",Penrose Library,"Hallmark Publishing,",2017,10/5/19,BOOK,FICTION
0,The secret lives of the four wives /,SHON,"Shoneyin, Titilola Alexandrah.",Library 21c,"William Morrow,",2011,8/6/19,BOOK,FICTION
0,The secret lives of the four wives /,SHON,"Shoneyin, Titilola Alexandrah.",East Library,"William Morrow,",2011,8/6/19,BOOK,FICTION
6,150 best tiny space ideas /,747.1 ZAMO,"Zamora Mola, Francesc,",Mobile Libraries,"Harper Design, an imprint of HarperCollins Publishers,",2019,1/8/20,BOOK,NEW
10,150 best tiny space ideas /,747.1 ZAMO,"Zamora Mola, Francesc,",Monument Library,"Harper Design, an imprint of HarperCollins Publishers,",2019,1/3/20,BOOK,NEW
6,The infographic guide to American government : a visual reference for everything you need to know /,320.473 LYTL,"Lytle, Carissa,",Library 21c,"Adams Media,",2019,2/1/20,BOOK,NEW
5,The infographic guide to American government : a visual reference for everything you need to know /,320.473 LYTL,"Lytle, Carissa,",East Library,"Adams Media,",2019,1/22/20,BOOK,NEW
6,The infographic guide to American government : a visual reference for everything you need to know /,320.473 LYTL,"Lytle, Carissa,",Cheyenne Mountain Library,"Adams Media,",2019,2/1/20,BOOK,NONFIC
0,International energy conservation code 2015 /,348.078697 INTE 2015,International Code Council.,East Library,"International Code Council, Inc.,",2014,1/1/00,REFERENCE,REF
0,International energy conservation code 2015 /,348.078697 INTE 2015,International Code Council.,Penrose Library,"International Code Council, Inc.,",2014,1/1/00,REFERENCE,REF
5,Ruby Holler,CREE 1-DEVICE,"Creech, Sharon.",Library 21c,"Findaway World,",2008,1/28/20,JPLAYER,JBKPLAYER
5,Ruby Holler,CREE 1-DEVICE,"Creech, Sharon.",Library 21c,"Findaway World,",2008,1/27/20,JPLAYER,JBKPLAYER
6,Ruby Holler,CREE 1-DEVICE,"Creech, Sharon.",Library 21c,"Findaway World,",2008,1/22/20,JPLAYER,JBKPLAYER
7,Ruby Holler,CREE 1-DEVICE,"Creech, Sharon.",Cheyenne Mountain Library,"Findaway World,",2008,2/4/20,JPLAYER,JBKPLAYER
3,The true confessions of Charlotte Doyle,AVI 1-DEVICE,"Avi,",Library 21c,"Recorded Books,",1992,2/1/20,JPLAYER,JBKPLAYER
5,The true confessions of Charlotte Doyle,AVI 1-DEVICE,"Avi,",East Library,"Recorded Books,",1992,2/3/20,JPLAYER,JBKPLAYER
4,The true confessions of Charlotte Doyle,AVI 1-DEVICE,"Avi,",East Library,"Recorded Books,",1992,1/23/20,JPLAYER,JBKPLAYER
3,The true confessions of Charlotte Doyle,AVI 1-DEVICE,"Avi,",Rockrimmon Library,"Recorded Books,",1992,12/14/19,JPLAYER,JBKPLAYER
0,"The Fitch gazetteer : an annotated index to the manuscript History of Washington County, New York /",929.374749 P463 V.4,"Perry, Kenneth A.",Carnegie-Special Collections,"Heritage Books,",1999,9/25/19,SC-BOOK,GENBOOK
0,1671 census of the Delaware /,317.3 D343C 1999,"Craig, Peter Stebbins.",Carnegie-Special Collections,"Genealogical Society of Pennsylvania,",1999,9/26/19,SC-BOOK,SCHBOOK
0,Colonial records of the Swedish churches of Pennsylvania /,974.800439 C886 V.1,,Carnegie-Special Collections,"Swedish Colonial Society,",2006,9/25/19,SC-BOOK,SCHBOOK
0,Colonial records of the Swedish churches of Pennsylvania /,974.800439 C886 V.2,,Carnegie-Special Collections,"Swedish Colonial Society,",2006,9/25/19,SC-BOOK,SCHBOOK
0,Colonial records of the Swedish churches of Pennsylvania /,974.800439 C886 V.3,,Carnegie-Special Collections,"Swedish Colonial Society,",2006,9/25/19,SC-BOOK,SCHBOOK
0,Colonial records of the Swedish churches of Pennsylvania /,974.800439 C886 V.4,,Carnegie-Special Collections,"Swedish Colonial Society,",2006,9/25/19,SC-BOOK,SCHBOOK
0,Colonial records of the Swedish churches of Pennsylvania /,974.800439 C886 V.5,,Carnegie-Special Collections,"Swedish Colonial Society,",2006,9/25/19,SC-BOOK,SCHBOOK
0,"St Mary's Church funeral records, Alpena, Michigan, 1887-1925.",929.377481 N946,"Nowakowski, Jeanette Greene.",Carnegie-Special Collections,"Northeast Michigan Genealogical Society,",1994,9/25/19,SC-BOOK,GENBOOK
